transaction_id,qty,amount,store_code,createddatetime,modifieddatetime
TXN10001,4,116.59,ST-MEL01,2026-03-09 13:41:09,2026-03-09 13:41:09
TXN10002,1,16.55,ST-SYD02,2026-01-20 03:07:37,2026-01-20 04:32:12
TXN10003,3,275.69,ST-BNE03,2026-05-14 20:17:41,2026-05-14 20:17:41
TXN10004,2,36.93,ST-MEL01,2026-02-17 08:31:09,2026-02-17 08:55:14
TXN10005,5,107.50,ST-PER04,2026-04-03 16:47:35,2026-04-03 16:47:35
TXN10006,2,71.74,ST-ADL05,2026-05-18 21:05:07,2026-05-18 21:05:07
TXN10007,1,41.74,ST-HBA06,2026-01-09 15:35:49,2026-01-09 16:20:11
TXN10008,1,55.51,ST-MEL01,2026-03-24 13:42:33,2026-03-24 13:42:33
TXN10009,4,302.24,ST-BNE03,2026-02-13 14:14:48,2026-02-13 14:14:48
TXN10010,2,69.57,ST-SYD02,2026-05-11 02:44:03,2026-05-11 03:12:45
TXN10011,1,14.67,ST-PER04,2026-03-16 11:24:28,2026-03-16 11:24:28
TXN10012,3,169.32,ST-ADL05,2026-02-19 12:47:58,2026-02-19 12:47:58
TXN10013,2,69.25,ST-HBA06,2026-01-07 19:42:47,2026-01-07 19:42:47
TXN10014,5,441.25,ST-MEL01,2026-05-21 16:41:40,2026-05-21 17:05:12
TXN10015,1,34.02,ST-BNE03,2026-04-09 09:27:14,2026-04-09 09:27:14
TXN10016,3,135.53,ST-SYD02,2026-03-29 02:26:07,2026-03-29 02:26:07
TXN10017,2,97.74,ST-PER04,2026-05-02 00:54:15,2026-05-02 01:45:30
TXN10018,4,136.21,ST-ADL05,2026-01-14 22:52:19,2026-01-14 22:52:19
TXN10019,1,41.92,ST-HBA06,2026-03-15 08:35:10,2026-03-15 09:12:00
TXN10020,3,149.61,ST-MEL01,2026-04-20 18:22:47,2026-04-20 18:22:47
TXN10021,5,491.43,ST-SYD02,2026-02-27 10:29:43,2026-02-27 11:15:22
TXN10022,2,47.88,ST-BNE03,2026-04-14 23:43:08,2026-04-14 23:43:08
